Generation,Population,Score,Steps,Fitness
0,0,9,288,0.28125
0,1,4,188,0.0851063829787234
0,2,6,120,0.3
0,3,0,1,0.0
0,4,7,371,0.1320754716981132
0,5,4,224,0.07142857142857142
0,6,8,400,0.16
0,7,10,440,0.22727272727272727
0,8,9,198,0.4090909090909091
0,9,5,165,0.15151515151515152
0,10,10,290,0.3448275862068966
0,11,2,44,0.09090909090909091
0,12,5,150,0.16666666666666666
0,13,2,84,0.047619047619047616
0,14,2,104,0.038461538461538464
0,15,3,117,0.07692307692307693
0,16,0,1,0.0
0,17,10,350,0.2857142857142857
0,18,4,116,0.13793103448275862
0,19,10,270,0.37037037037037035
0,20,0,1,0.0
0,21,10,460,0.21739130434782608
0,22,1,51,0.0196078431372549
0,23,7,308,0.1590909090909091
0,24,2,86,0.046511627906976744
0,25,9,342,0.23684210526315788
0,26,0,1,0.0
0,27,5,265,0.09433962264150944
0,28,8,208,0.3076923076923077
0,29,10,300,0.3333333333333333
0,30,6,138,0.2608695652173913
0,31,8,160,0.4
0,32,10,210,0.47619047619047616
0,33,5,250,0.1
0,34,9,315,0.2571428571428571
0,35,4,88,0.18181818181818182
0,36,3,147,0.061224489795918366
0,37,1,22,0.045454545454545456
0,38,9,171,0.47368421052631576
0,39,8,408,0.1568627450980392
0,40,10,340,0.29411764705882354
0,41,6,174,0.20689655172413793
0,42,5,225,0.1111111111111111
0,43,0,1,0.0
0,44,9,387,0.20930232558139536
0,45,3,156,0.057692307692307696
0,46,2,78,0.05128205128205128
0,47,4,224,0.07142857142857142
0,48,10,210,0.47619047619047616
0,49,9,378,0.21428571428571427
0,50,9,324,0.25
0,51,5,175,0.14285714285714285
0,52,3,84,0.10714285714285714
0,53,8,336,0.19047619047619047
0,54,1,49,0.02040816326530612
0,55,8,168,0.38095238095238093
0,56,7,133,0.3684210526315789
0,57,1,52,0.019230769230769232
0,58,0,1,0.0
0,59,0,1,0.0
0,60,8,360,0.17777777777777778
0,61,1,46,0.021739130434782608
0,62,10,490,0.20408163265306123
0,63,1,24,0.041666666666666664
0,64,6,180,0.2
0,65,7,266,0.18421052631578946
0,66,10,310,0.3225806451612903
0,67,2,72,0.05555555555555555
0,68,9,234,0.34615384615384615
0,69,2,108,0.037037037037037035
0,70,7,224,0.21875
0,71,10,410,0.24390243902439024
0,72,6,240,0.15
0,73,7,154,0.3181818181818182
0,74,2,82,0.04878048780487805
0,75,6,294,0.12244897959183673
0,76,6,216,0.16666666666666666
0,77,4,80,0.2
0,78,0,1,0.0
0,79,7,371,0.1320754716981132
0,80,4,152,0.10526315789473684
0,81,7,287,0.17073170731707318
0,82,1,27,0.037037037037037035
0,83,0,1,0.0
0,84,4,172,0.09302325581395349
0,85,5,125,0.2
0,86,2,46,0.08695652173913043
0,87,3,84,0.10714285714285714
0,88,9,504,0.16071428571428573
0,89,5,255,0.09803921568627451
0,90,3,147,0.061224489795918366
0,91,2,58,0.06896551724137931
0,92,5,220,0.11363636363636363
0,93,7,357,0.13725490196078433
0,94,1,48,0.020833333333333332
0,95,10,460,0.21739130434782608
0,96,6,216,0.16666666666666666
0,97,4,80,0.2
0,98,3,60,0.15
0,99,9,261,0.3103448275862069
